CRIM,INDUS,NOX,RM,AGE,DIS,LSTAT,CAT
0.00632,2.31,0.538,6.575,65.2,4.09,4.98,0
0.02731,7.07,0.469,6.421,78.9,4.9671,9.14,0
0.02729,7.07,0.469,7.185,61.1,4.9671,4.03,1
0.03237,2.18,0.458,6.998,45.8,6.0622,2.94,1
0.06905,2.18,0.458,7.147,54.2,6.0622,5.33,1
0.02985,2.18,0.458,6.43,58.7,6.0622,5.21,0
0.08829,7.87,0.524,6.012,66.6,5.5605,12.43,0
0.14455,7.87,0.524,6.172,96.1,5.9505,19.15,0
0.21124,7.87,0.524,5.631,100,6.0821,29.93,0
0.17004,7.87,0.524,6.004,85.9,6.5921,17.1,0
0.22489,7.87,0.524,6.377,94.3,6.3467,20.45,0
0.11747,7.87,0.524,6.009,82.9,6.2267,13.27,0
0.09378,7.87,0.524,5.889,39,5.4509,15.71,0
0.62976,8.14,0.538,5.949,61.8,4.7075,8.26,0
0.63796,8.14,0.538,6.096,84.5,4.4619,10.26,0
0.62739,8.14,0.538,5.834,56.5,4.4986,8.47,0
1.05393,8.14,0.538,5.935,29.3,4.4986,6.58,0
0.7842,8.14,0.538,5.99,81.7,4.2579,14.67,0
0.80271,8.14,0.538,5.456,36.6,3.7965,11.69,0
0.7258,8.14,0.538,5.727,69.5,3.7965,11.28,0
1.25179,8.14,0.538,5.57,98.1,3.7979,21.02,0
0.85204,8.14,0.538,5.965,89.2,4.0123,13.83,0
1.23247,8.14,0.538,6.142,91.7,3.9769,18.72,0
0.98843,8.14,0.538,5.813,100,4.0952,19.88,0
0.75026,8.14,0.538,5.924,94.1,4.3996,16.3,0
0.84054,8.14,0.538,5.599,85.7,4.4546,16.51,0
0.67191,8.14,0.538,5.813,90.3,4.682,14.81,0
0.95577,8.14,0.538,6.047,88.8,4.4534,17.28,0
0.77299,8.14,0.538,6.495,94.4,4.4547,12.8,0
1.00245,8.14,0.538,6.674,87.3,4.239,11.98,0
1.13081,8.14,0.538,5.713,94.1,4.233,22.6,0
1.35472,8.14,0.538,6.072,100,4.175,13.04,0
1.38799,8.14,0.538,5.95,82,3.99,27.71,0
1.15172,8.14,0.538,5.701,95,3.7872,18.35,0
1.61282,8.14,0.538,6.096,96.9,3.7598,20.34,0
0.06417,5.96,0.499,5.933,68.2,3.3603,9.68,0
0.09744,5.96,0.499,5.841,61.4,3.3779,11.41,0
0.08014,5.96,0.499,5.85,41.5,3.9342,8.77,0
0.17505,5.96,0.499,5.966,30.2,3.8473,10.13,0
0.02763,2.95,0.428,6.595,21.8,5.4011,4.32,1
0.03359,2.95,0.428,7.024,15.8,5.4011,1.98,1
0.12744,6.91,0.448,6.77,2.9,5.7209,4.84,0
0.1415,6.91,0.448,6.169,6.6,5.7209,5.81,0
0.15936,6.91,0.448,6.211,6.5,5.7209,7.44,0
0.12269,6.91,0.448,6.069,40,5.7209,9.55,0
0.17142,6.91,0.448,5.682,33.8,5.1004,10.21,0
0.18836,6.91,0.448,5.786,33.3,5.1004,14.15,0
0.22927,6.91,0.448,6.03,85.5,5.6894,18.8,0
0.25387,6.91,0.448,5.399,95.3,5.87,30.81,0
0.21977,6.91,0.448,5.602,62,6.0877,16.2,0
0.08873,5.64,0.439,5.963,45.7,6.8147,13.45,0
0.04337,5.64,0.439,6.115,63,6.8147,9.43,0
0.0536,5.64,0.439,6.511,21.1,6.8147,5.28,0
0.04981,5.64,0.439,5.998,21.4,6.8147,8.43,0
0.0136,4,0.41,5.888,47.6,7.3197,14.8,0
0.01311,1.22,0.403,7.249,21.9,8.6966,4.81,1
0.02055,0.74,0.41,6.383,35.7,9.1876,5.77,0
0.01432,1.32,0.411,6.816,40.5,8.3248,3.95,1
0.15445,5.13,0.453,6.145,29.2,7.8148,6.86,0
0.10328,5.13,0.453,5.927,47.2,6.932,9.22,0
0.14932,5.13,0.453,5.741,66.2,7.2254,13.15,0
0.17171,5.13,0.453,5.966,93.4,6.8185,14.44,0
0.11027,5.13,0.453,6.456,67.8,7.2255,6.73,0
0.1265,5.13,0.453,6.762,43.4,7.9809,9.5,0
0.01951,1.38,0.4161,7.104,59.5,9.2229,8.05,1
0.03584,3.37,0.398,6.29,17.8,6.6115,4.67,0
0.04379,3.37,0.398,5.787,31.1,6.6115,10.24,0
0.05789,6.07,0.409,5.878,21.4,6.498,8.1,0
0.13554,6.07,0.409,5.594,36.8,6.498,13.09,0
0.12816,6.07,0.409,5.885,33,6.498,8.79,0
0.08826,10.81,0.413,6.417,6.6,5.2873,6.72,0
0.15876,10.81,0.413,5.961,17.5,5.2873,9.88,0
0.09164,10.81,0.413,6.065,7.8,5.2873,5.52,0
0.19539,10.81,0.413,6.245,6.2,5.2873,7.54,0
0.07896,12.83,0.437,6.273,6,4.2515,6.78,0
0.09512,12.83,0.437,6.286,45,4.5026,8.94,0
0.10153,12.83,0.437,6.279,74.5,4.0522,11.97,0
0.08707,12.83,0.437,6.14,45.8,4.0905,10.27,0
0.05646,12.83,0.437,6.232,53.7,5.0141,12.34,0
0.08387,12.83,0.437,5.874,36.6,4.5026,9.1,0
0.04113,4.86,0.426,6.727,33.5,5.4007,5.29,0
0.04462,4.86,0.426,6.619,70.4,5.4007,7.22,0
0.03659,4.86,0.426,6.302,32.2,5.4007,6.72,0
0.03551,4.86,0.426,6.167,46.7,5.4007,7.51,0
0.05059,4.49,0.449,6.389,48,4.7794,9.62,0
0.05735,4.49,0.449,6.63,56.1,4.4377,6.53,0
0.05188,4.49,0.449,6.015,45.1,4.4272,12.86,0
0.07151,4.49,0.449,6.121,56.8,3.7476,8.44,0
0.0566,3.41,0.489,7.007,86.3,3.4217,5.5,0
0.05302,3.41,0.489,7.079,63.1,3.4145,5.7,0
0.04684,3.41,0.489,6.417,66.1,3.0923,8.81,0
0.03932,3.41,0.489,6.405,73.9,3.0921,8.2,0
0.04203,15.04,0.464,6.442,53.6,3.6659,8.16,0
0.02875,15.04,0.464,6.211,28.9,3.6659,6.21,0
0.04294,15.04,0.464,6.249,77.3,3.615,10.59,0
0.12204,2.89,0.445,6.625,57.8,3.4952,6.65,0
0.11504,2.89,0.445,6.163,69.6,3.4952,11.34,0
0.12083,2.89,0.445,8.069,76,3.4952,4.21,1
0.08187,2.89,0.445,7.82,36.9,3.4952,3.57,1
0.0686,2.89,0.445,7.416,62.5,3.4952,6.19,1
0.14866,8.56,0.52,6.727,79.9,2.7778,9.42,0
0.11432,8.56,0.52,6.781,71.3,2.8561,7.67,0
0.22876,8.56,0.52,6.405,85.4,2.7147,10.63,0
0.21161,8.56,0.52,6.137,87.4,2.7147,13.44,0
0.1396,8.56,0.52,6.167,90,2.421,12.33,0
0.13262,8.56,0.52,5.851,96.7,2.1069,16.47,0
0.1712,8.56,0.52,5.836,91.9,2.211,18.66,0
0.13117,8.56,0.52,6.127,85.2,2.1224,14.09,0
0.12802,8.56,0.52,6.474,97.1,2.4329,12.27,0
0.26363,8.56,0.52,6.229,91.2,2.5451,15.55,0
0.10793,8.56,0.52,6.195,54.4,2.7778,13,0
0.10084,10.01,0.547,6.715,81.6,2.6775,10.16,0
0.12329,10.01,0.547,5.913,92.9,2.3534,16.21,0
0.22212,10.01,0.547,6.092,95.4,2.548,17.09,0
0.14231,10.01,0.547,6.254,84.2,2.2565,10.45,0
0.17134,10.01,0.547,5.928,88.2,2.4631,15.76,0
0.13158,10.01,0.547,6.176,72.5,2.7301,12.04,0
0.15098,10.01,0.547,6.021,82.6,2.7474,10.3,0
0.13058,10.01,0.547,5.872,73.1,2.4775,15.37,0
0.14476,10.01,0.547,5.731,65.2,2.7592,13.61,0
0.06899,25.65,0.581,5.87,69.7,2.2577,14.37,0
